0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
10,"1,662","1,662","1,312","1,399",64,325,0,29,0,1,"144,187","73,130","52,025","51,249","4,885",,,,,,,,30%,7%,,Team Lead,0,5,4,21,Abitur,2,,,,,,,,65%,112%,86%,95%,3,3,3,1,Salary/Benfit,0,0,0,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Noch viel Luft nach oben.","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Ein Teamplayer. Weiteres: Kann Verantwortung übernehmen.",Dortmund,,48,2,"60,755","71,989","191,036","55,495","38,214",10,,
11,"1,649","1,649",968,"1,620",94,413,10,29,0,0,"141,263","95,715","92,270","66,792","4,136",,,,,,,,40%,10%,,Consultant,9,4,0,0,Mittlere Reife,4,,,,,,,,112%,173%,72%,129%,3,3,1,3,Pension,0,1,0,0,0,1,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Bleiben Sie dran!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Gute Ansätze sichtbar. Weiteres: Kann Verantwortung übernehmen.",Bielefeld,,50,0,"56,414","66,222","45,213","64,957","1,225",10,,
12,"1,825","2,043","1,910","1,867",70,390,0,28,3,0,"99,720","80,152","42,733","40,000","4,736",,,,,,,,30%,0%,,Team Lead,12,4,3,17,Abitur,5,,,,,,,,55%,120%,88%,56%,5,1,1,2,Relationship to team/manager,0,0,1,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Gute Ansätze!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Es gibt noch viel zu tun. Weiteres: Fehlt es an Eigeninitiative.",Berlin,,36,2,"43,112","75,484","64,023","45,336","45,379",9,,
13,"1,843","1,273","1,542","1,804",64,413,23,22,1,0,"189,306","74,563","60,677","44,289","6,287",,,,,,,,20%,-2%,,Sales,2,2,7,3,Master,7,,,,,,,,86%,82%,82%,27%,2,3,3,1,Cultural Fit,0,0,0,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Gute Ansätze!","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Gute Ansätze sichtbar. Weiteres: Hat Defizite in der Kommunikation.",Berlin,,31,2,"86,624","80,127","74,484","54,775","84,988",12,,
14,"1,743","1,317","1,545","1,549",99,372,21,35,1,0,"123,451","93,306","88,648","73,398","2,688",,,,,,,,0%,0%,,Developer,9,4,6,13,Mittlere Reife,5,,,,,,,,107%,46%,102%,55%,3,1,2,2,Pension,0,0,0,0,1,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Gute Ansätze!","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Ein Teamplayer. Weiteres: Zeigt gute Präsenz in Meetings.",Chemnitz,,46,1,"98,747","63,467","84,354","41,468","24,724",12,,
15,"1,883",948,"1,548","1,788",89,424,0,35,2,0,"123,504","116,751","89,415","58,481","2,828",,,,,,,,20%,-3%,,Sales,0,4,3,13,Master,2,,,,,,,,106%,79%,68%,105%,1,1,1,2,Pension,1,0,0,1,1,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Bleiben Sie dran!",Er/Sie leistet solide Arbeit und trägt wesentlich zum Erfolg des Teams bei. Besonders hervorzuheben sind seine/ihre Stärken in der Konfiguration von SAP-Modulen und sein/ihr schnelles Verständnis für technische Herausforderungen. Ein leichtes Ausbaupotenzial besteht in der Kommunikation bei komplexen Projekten. Kommentar: Gute Ansätze sichtbar. Weiteres: Kann Verantwortung übernehmen.,Dortmund,,56,2,"73,360","61,348",0,"59,086","84,748",9,,
16,"1,825","1,559","1,597","1,699",94,353,37,21,2,0,"122,422","75,546","53,003","45,942","4,766",,,,,,,,20%,-2%,,Sales,14,3,2,17,Abitur,4,,,,,,,,47%,32%,100%,83%,5,2,1,3,Relationship to team/manager,0,0,0,0,0,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Bleiben Sie dran!","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Sollte dringend an sich arbeiten. Weiteres: Hat Defizite in der Kommunikation.",Bielefeld,,25,2,"67,446","58,219","26,928","64,761","1,974",11,,
17,"1,862","1,231","1,544","1,821",89,327,3,28,1,0,"129,963","94,170","70,792","54,321","3,567",,,,,,,,30%,4%,,Team Lead,9,6,5,29,Hauptschulabschluss,3,,,,,,,,118%,140%,110%,61%,4,3,1,2,Cultural Fit,0,1,0,0,0,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Bleiben Sie dran!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Gute Ansätze sichtbar. Weiteres: Kann Verantwortung übernehmen.",Bautzen,,34,2,"117,339","61,289","69,693","62,398","94,984",6,,
18,"1,807","1,837","1,835","1,811",100,379,14,18,0,0,"121,066","73,446","69,669","40,000","4,301",,,,,,,,20%,-1%,,Solution Advisor,8,4,3,10,Abitur,4,,,,,,,,73%,89%,77%,133%,3,3,3,1,Cultural Fit,0,0,1,1,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Noch viel Luft nach oben.","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Gute Ansätze sichtbar. Weiteres: Hat Defizite in der Kommunikation.",Chemnitz,,38,4,"79,252","84,296","115,941","81,094","34,892",9,,
19,"1,785","1,399","1,686","1,700",72,318,21,23,0,0,"160,851","112,457","58,178","51,057","1,301",,,,,,,,40%,-6%,,Solution Advisor,14,6,5,19,Abitur,5,,,,,,,,50%,148%,72%,158%,3,3,2,1,Cultural Fit,0,1,0,0,1,0,"Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle Ihnen die Motivation und das Verständnis für die Aufgaben. Ich rate Ihnen dringend, an Ihrer Einstellung und Ihren Fähigkeiten zu arbeiten, um Ihren Beitrag zum Team zu verbessern. Andernfalls könnten Konsequenzen folgen. Zusatzkommentar: Gute Ansätze!","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Wird von allen geschätzt. Weiteres: Kann Verantwortung übernehmen.",Dortmund,,46,1,"97,655","54,440","62,588","81,304","65,050",6,,
20,"1,886","1,686","1,733","1,800",106,310,23,39,0,0,"163,476","86,366","80,549","69,350","3,583",,,,,,,,10%,1%,,Solution Advisor,2,4,2,15,Master,5,,,,,,,,128%,115%,123%,86%,3,1,2,1,Pension,0,1,0,1,0,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Bleiben Sie dran!","Er/Sie übertrifft regelmäßig die Erwartungen und liefert konstant herausragende Ergebnisse. Seine/Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Er/Sie ist ein Vorbild für das gesamte Team und sollte diesen Einsatz unbedingt beibehalten. Kommentar: Wird von allen geschätzt. Weiteres: Zeigt gute Präsenz in Meetings.",Jena,,47,0,"94,979","63,320","41,096","66,954","72,137",13,,
21,"1,815",744,924,"1,006",86,342,3,27,0,0,"150,524","107,966","85,876","66,375","5,289",,,,,,,,30%,3%,,Internal,13,4,6,15,Bachelor,5,,,,,,,,113%,46%,128%,48%,1,1,2,3,Career Progression,0,0,0,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Bleiben Sie dran!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Ein Teamplayer. Weiteres: Fehlt es an Eigeninitiative.",Göttingen,,35,2,"46,275","50,493","79,245","81,397","75,175",14,,
22,"1,866","1,065","1,145","1,644",76,393,31,39,0,0,"131,638","102,910","68,514","40,000",131,,,,,,,,20%,-4%,,Internal,7,2,7,8,Bachelor,3,,,,,,,,94%,112%,92%,94%,4,3,1,3,Cultural Fit,0,0,0,0,1,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Noch viel Luft nach oben.","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Wird von allen geschätzt. Weiteres: Kann Verantwortung übernehmen.",Chemnitz,,52,1,"95,937","71,769","117,133","57,652","43,805",10,,
